Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,25,45,45,35.8,9.1,19.2,.473,3.0,8.2,.363,6.1,11.0,.556,.551,5.8,7.1,.813,0.9,7.6,8.4,4.5,1.0,0.6,2.6,2.0,26.9
2,Jrue Holiday,33,44,44,33.6,5.0,10.8,.465,2.1,4.9,.428,3.0,6.0,.496,.562,1.2,1.5,.828,1.4,4.6,6.0,4.5,0.8,0.8,1.9,1.6,13.4
3,Jaylen Brown,27,45,45,33.3,8.7,17.6,.494,2.1,5.9,.352,6.6,11.7,.564,.552,3.2,4.4,.727,1.0,4.3,5.4,3.7,1.1,0.6,2.4,2.6,22.6
4,Derrick White,29,44,44,32.1,5.4,11.8,.458,2.7,6.7,.400,2.7,5.1,.533,.571,2.3,2.6,.895,0.7,3.3,4.0,4.7,1.0,1.2,1.6,2.2,15.8
5,Kristaps Porziņģis,28,34,34,29.8,6.4,12.4,.521,1.8,5.1,.358,4.6,7.3,.636,.595,4.7,5.6,.839,1.7,5.2,6.9,2.0,0.6,1.8,1.6,2.9,19.4
6,Al Horford,37,39,19,27.1,2.9,6.0,.483,1.6,4.0,.413,1.3,2.0,.620,.620,0.3,0.4,.857,1.3,5.5,6.8,2.9,0.4,0.9,0.8,1.6,7.7
7,Sam Hauser,26,47,5,21.6,2.8,6.3,.444,2.2,5.4,.412,0.6,0.9,.643,.621,0.2,0.3,.846,0.7,2.8,3.4,1.0,0.4,0.3,0.5,1.3,8.1
8,Payton Pritchard,26,48,0,21.0,2.8,6.6,.423,1.7,4.4,.377,1.1,2.2,.514,.549,0.6,0.7,.794,0.9,2.3,3.2,2.9,0.4,0.1,0.6,1.3,7.8
9,Luke Kornet,28,33,2,15.1,2.2,3.3,.685,0.0,0.0,,2.2,3.3,.685,.685,0.8,0.9,.897,1.8,2.0,3.9,0.9,0.4,1.0,0.5,1.4,5.3
10,Neemias Queta,24,20,0,12.4,1.9,3.3,.585,0.0,0.0,,1.9,3.3,.585,.585,0.7,1.0,.737,1.7,2.5,4.2,0.5,0.4,0.7,0.4,2.0,4.5
11,Oshae Brissett,25,30,0,11.7,1.4,2.9,.466,0.3,1.2,.286,1.0,1.8,.585,.523,0.9,1.3,.675,1.1,2.0,3.1,0.6,0.4,0.1,0.3,1.2,4.0
12,Svi Mykhailiuk,26,21,0,7.7,0.9,2.8,.328,0.7,2.2,.298,0.2,0.5,.455,.448,0.1,0.3,.500,0.2,0.6,0.9,0.3,0.3,0.0,0.3,0.5,2.6
13,Dalano Banton,24,22,1,7.4,0.9,2.1,.404,0.1,0.6,.143,0.8,1.5,.515,.426,0.6,0.8,.778,0.5,1.0,1.5,0.7,0.2,0.1,0.5,0.9,2.5
14,Lamar Stevens,26,18,1,6.4,1.1,2.3,.463,0.1,0.4,.286,0.9,1.9,.500,.488,0.4,0.6,.727,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,2.7
15,Drew Peterson,24,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
16,JD Davison,21,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17,Jordan Walsh,19,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0
