Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
Deandre Ayton,25,$32459438,$34005126,$35550814,,,,$102015378
Jerami Grant,29,$27586207,$29793104,$32000001,$34206898,$36413790,,$123586210
Anfernee Simons,24,$24107143,$25892857,$27678571,,,,$77678571
Malcolm Brogdon,31,$22500000,$22500000,,,,,$45000000
Robert Williams,26,$11571429,$12428571,$13285713,,,,$37285713
Matisse Thybulle,26,$10500000,$11025000,$11550000,,,,$21525000
Scoot Henderson,20,$9770880,$10259160,$10748040,$13585523,,,$20030040
Shaedon Sharpe,20,$6313800,$6614160,$8399983,,,,$12927960
Kris Murray,23,$2847480,$2990040,$3132000,$5315004,,,$5837520
Dalano Banton,24,$2019706,$2196970,,,,,$2019706
Moses Brown,24,$2019706,,,,,,
Jabari Walker,21,$1719864,$2019699,,,,,$1719864
Toumani Camara,23,$1119563,$1891857,$2221677,$2406205,,,$1119563
Rayan Rupert,19,$1119563,$1891857,$2221677,,,,$3011420
Justin Minaya,24,,,,,,,
Duop Reath,27,,,,,,,
Ibou Badji,21,,,,,,,
Andrew Nicholson,34,$2844430,,,,,,$2844430
Ish Wainright,29,$1927896,,,,,,$1927896
Skylar Mays,26,$1799163,,,,,,
Eric Bledsoe,34,$1300000,$1300000,,,,,$2600000
Didi Louzada,25,$268032,$268032,$268032,$268032,$268032,$268032,$1608192
Taze Moore,25,$64343,,,,,,$64343
