Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Giannis Antetokounmpo,29,$45640084,$48787676,$68302746,$73766966,$79231186,,$236497472,1,29,54,54,35.0,11.6,18.8,0.616,0.4,1.7,0.255,11.1,17.1,0.652,0.627,7.1,10.9,0.653,2.5,8.7,11.2,6.4,1.4,1.1,3.5,3.0,30.8
Damian Lillard,33,$45640084,$48787676,$58545211,$63228828,,,$152972971,2,33,51,51,34.9,7.4,17.4,0.423,2.9,8.5,0.341,4.5,8.9,0.501,0.506,7.0,7.6,0.925,0.6,3.6,4.1,6.7,1.0,0.2,2.5,1.7,24.6
Khris Middleton,32,$29320988,$31666667,$34012345,,,,$60987655,5,32,43,43,26.3,5.6,11.6,0.487,1.7,4.5,0.378,3.9,7.1,0.556,0.56,1.8,2.2,0.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8
Brook Lopez,35,$25000000,$23000000,,,,,$48000000,3,35,53,53,31.5,4.9,10.2,0.483,1.8,5.2,0.342,3.1,5.0,0.631,0.571,1.4,1.7,0.835,1.5,4.0,5.6,1.6,0.6,2.7,0.9,2.6,13.0
Bobby Portis,29,$11710818,$12578286,$13445754,,,,$24289104,7,28,56,1,24.0,5.1,10.3,0.494,1.2,3.0,0.385,3.9,7.3,0.539,0.55,1.3,1.6,0.791,1.6,5.3,6.9,1.1,0.7,0.4,1.0,2.4,12.7
Pat Connaughton,31,$9423869,$9423869,$9423869,,,,$28271607,8,31,50,2,21.3,1.9,4.1,0.456,1.1,2.9,0.385,0.8,1.2,0.623,0.591,0.4,0.6,0.69,0.6,2.7,3.3,2.0,0.5,0.2,0.6,1.3,5.2
MarJon Beauchamp,23,$2609400,$2733720,$4781276,,,,$5343120,11,23,40,1,14.2,1.8,3.7,0.477,0.7,1.7,0.391,1.1,2.0,0.55,0.567,0.5,0.7,0.679,0.6,1.8,2.3,0.7,0.3,0.2,0.7,1.3,4.7
Thanasis Antetokounmpo,31,$2019706,,,,,,$2019706,14,31,23,0,4.6,0.5,0.9,0.524,0.0,0.0,0.0,0.5,0.9,0.55,0.524,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.9,1.0
Malik Beasley,27,$2019706,,,,,,$2019706,4,27,54,54,29.5,4.1,8.8,0.468,2.9,6.5,0.444,1.2,2.3,0.537,0.633,0.3,0.5,0.64,0.7,3.3,3.9,1.4,0.8,0.1,0.7,2.1,11.4
Patrick Beverley,35,$2019706,,,,,,$2019706,10,35,4,0,14.8,1.3,4.3,0.294,1.0,2.5,0.4,0.3,1.8,0.143,0.412,0.3,0.5,0.5,0.3,1.8,2.0,2.5,0.8,0.0,1.3,1.8,3.8
Jae Crowder,33,$2019706,,,,,,$2019706,6,33,25,9,24.7,2.5,5.6,0.44,1.4,3.7,0.37,1.1,2.0,0.571,0.56,0.6,1.0,0.667,0.4,2.8,3.3,1.6,0.8,0.2,0.5,1.6,7.0
A.J. Green,24,$1901769,$2120693,$2301587,,,,$1901769,13,24,36,0,9.3,1.4,3.4,0.43,1.2,2.9,0.415,0.2,0.4,0.533,0.612,0.2,0.2,1.0,0.2,0.9,1.1,0.6,0.1,0.1,0.1,0.9,4.3
Andre Jackson Jr.,22,$1119563,$1891857,$2221677,$2406205,,,$1119563,12,22,45,8,11.0,1.0,1.9,0.523,0.3,0.9,0.375,0.7,1.0,0.652,0.61,0.2,0.2,0.727,0.8,1.2,2.0,1.0,0.3,0.1,0.5,1.8,2.5
Chris Livingston,20,$1119563,$1891857,$2221677,$2406205,,,$3011420,17,20,15,0,4.1,0.5,0.9,0.5,0.1,0.1,1.0,0.4,0.9,0.462,0.536,0.1,0.1,1.0,0.1,0.8,0.9,0.3,0.1,0.0,0.2,0.5,1.1
TyTy Washington Jr.,22,,,,,,,,15,22,5,0,4.2,0.2,1.4,0.143,0.2,0.6,0.333,0.0,0.8,0.0,0.214,0.0,0.0,,0.0,0.2,0.2,0.2,0.4,0.0,0.4,0.0,0.6
