Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Giannis Antetokounmpo,29,54,54,35.0,11.6,18.8,.616,0.4,1.7,.255,11.1,17.1,.652,.627,7.1,10.9,.653,2.5,8.7,11.2,6.4,1.4,1.1,3.5,3.0,30.8
2,Damian Lillard,33,51,51,34.9,7.4,17.4,.423,2.9,8.5,.341,4.5,8.9,.501,.506,7.0,7.6,.925,0.6,3.6,4.1,6.7,1.0,0.2,2.5,1.7,24.6
3,Brook Lopez,35,53,53,31.5,4.9,10.2,.483,1.8,5.2,.342,3.1,5.0,.631,.571,1.4,1.7,.835,1.5,4.0,5.6,1.6,0.6,2.7,0.9,2.6,13.0
4,Malik Beasley,27,54,54,29.5,4.1,8.8,.468,2.9,6.5,.444,1.2,2.3,.537,.633,0.3,0.5,.640,0.7,3.3,3.9,1.4,0.8,0.1,0.7,2.1,11.4
5,Khris Middleton,32,43,43,26.3,5.6,11.6,.487,1.7,4.5,.378,3.9,7.1,.556,.560,1.8,2.2,.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8
6,Jae Crowder,33,25,9,24.7,2.5,5.6,.440,1.4,3.7,.370,1.1,2.0,.571,.560,0.6,1.0,.667,0.4,2.8,3.3,1.6,0.8,0.2,0.5,1.6,7.0
7,Bobby Portis,28,56,1,24.0,5.1,10.3,.494,1.2,3.0,.385,3.9,7.3,.539,.550,1.3,1.6,.791,1.6,5.3,6.9,1.1,0.7,0.4,1.0,2.4,12.7
8,Pat Connaughton,31,50,2,21.3,1.9,4.1,.456,1.1,2.9,.385,0.8,1.2,.623,.591,0.4,0.6,.690,0.6,2.7,3.3,2.0,0.5,0.2,0.6,1.3,5.2
9,Cameron Payne,29,47,2,14.9,2.1,4.7,.455,1.1,2.8,.397,1.0,1.9,.538,.572,0.8,0.9,.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2
10,Patrick Beverley,35,4,0,14.8,1.3,4.3,.294,1.0,2.5,.400,0.3,1.8,.143,.412,0.3,0.5,.500,0.3,1.8,2.0,2.5,0.8,0.0,1.3,1.8,3.8
11,MarJon Beauchamp,23,40,1,14.2,1.8,3.7,.477,0.7,1.7,.391,1.1,2.0,.550,.567,0.5,0.7,.679,0.6,1.8,2.3,0.7,0.3,0.2,0.7,1.3,4.7
12,Andre Jackson Jr.,22,45,8,11.0,1.0,1.9,.523,0.3,0.9,.375,0.7,1.0,.652,.610,0.2,0.2,.727,0.8,1.2,2.0,1.0,0.3,0.1,0.5,1.8,2.5
13,A.J. Green,24,36,0,9.3,1.4,3.4,.430,1.2,2.9,.415,0.2,0.4,.533,.612,0.2,0.2,1.000,0.2,0.9,1.1,0.6,0.1,0.1,0.1,0.9,4.3
14,Thanasis Antetokounmpo,31,23,0,4.6,0.5,0.9,.524,0.0,0.0,.000,0.5,0.9,.550,.524,0.0,0.0,,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.9,1.0
15,TyTy Washington Jr.,22,5,0,4.2,0.2,1.4,.143,0.2,0.6,.333,0.0,0.8,.000,.214,0.0,0.0,,0.0,0.2,0.2,0.2,0.4,0.0,0.4,0.0,0.6
16,Robin Lopez,35,16,2,4.1,0.4,1.2,.368,0.1,0.5,.250,0.3,0.7,.455,.421,0.1,0.1,1.000,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1
17,Chris Livingston,20,15,0,4.1,0.5,0.9,.500,0.1,0.1,1.000,0.4,0.9,.462,.536,0.1,0.1,1.000,0.1,0.8,0.9,0.3,0.1,0.0,0.2,0.5,1.1
18,Lindell Wigginton,25,3,0,2.7,0.7,1.7,.400,0.0,0.7,.000,0.7,1.0,.667,.400,0.7,0.7,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0
19,Marques Bolden,25,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
