Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jrue Holiday,33,$36861707,$39403894,,,,,$36861707,3,33,50,50,33.3,5.0,10.5,0.473,2.1,4.7,0.44,2.9,5.8,0.5,0.571,1.1,1.3,0.833,1.3,4.5,5.9,4.8,0.8,0.7,1.9,1.7,13.1
Kristaps Porziņģis,28,$36016200,$29268293,$30731707,,,,$96016200,5,28,40,40,29.5,6.8,12.8,0.531,1.9,5.0,0.368,5.0,7.8,0.637,0.604,4.8,5.7,0.845,1.6,5.4,6.9,1.9,0.6,1.9,1.7,2.8,20.2
Jayson Tatum,25,$32600060,$34848340,$37096620,,,,$67448400,1,25,52,52,35.8,9.3,19.5,0.475,3.1,8.4,0.363,6.2,11.0,0.561,0.554,5.6,6.8,0.824,0.9,7.7,8.6,4.8,1.0,0.6,2.5,2.0,27.1
Jaylen Brown,27,$31830357,$49700000,$53676000,$57652000,$61628000,$65604000,$320090357,2,27,50,50,33.4,8.5,17.3,0.492,1.9,5.7,0.342,6.6,11.6,0.566,0.549,3.0,4.2,0.718,1.1,4.4,5.5,3.7,1.1,0.6,2.5,2.7,22.0
Derrick White,29,$18357143,$19571429,,,,,$37928572,4,29,51,51,32.3,5.4,11.7,0.462,2.7,6.7,0.397,2.7,5.0,0.551,0.576,2.1,2.3,0.891,0.6,3.3,3.9,4.7,1.0,1.2,1.6,2.2,15.6
Al Horford,37,$10000000,$9500000,,,,,$19500000,6,37,45,22,27.2,3.0,6.2,0.484,1.6,4.0,0.409,1.3,2.1,0.625,0.617,0.4,0.4,0.85,1.2,5.5,6.7,2.9,0.6,1.0,0.7,1.5,8.0
Payton Pritchard,26,$4037277,$6696429,$7232143,$7767857,$8303571,,$34037277,8,26,55,0,20.7,2.9,6.7,0.435,1.7,4.5,0.38,1.2,2.2,0.55,0.564,0.5,0.7,0.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.3,8.1
Luke Kornet,28,$2413304,,,,,,,9,28,39,2,14.9,2.1,3.1,0.689,0.0,0.0,,2.1,3.1,0.689,0.689,0.7,0.8,0.879,1.9,2.1,4.0,0.9,0.4,1.0,0.4,1.4,4.9
Oshae Brissett,25,$2165000,$2463946,,,,,$2165000,11,25,36,0,11.1,1.3,2.8,0.46,0.3,1.1,0.293,0.9,1.6,0.576,0.52,1.0,1.4,0.673,1.0,1.8,2.8,0.8,0.4,0.1,0.3,1.0,3.9
Svi Mykhailiuk,26,$2019706,,,,,,,13,26,23,0,7.9,1.0,2.8,0.338,0.7,2.3,0.308,0.3,0.6,0.462,0.462,0.1,0.3,0.5,0.2,0.7,0.9,0.4,0.3,0.0,0.3,0.5,2.7
Sam Hauser,26,$1927896,$2092344,,,,,$4020240,7,26,54,6,21.5,2.8,6.3,0.443,2.2,5.4,0.412,0.6,0.9,0.638,0.62,0.3,0.3,0.882,0.6,2.7,3.4,1.0,0.4,0.2,0.5,1.3,8.1
Jordan Walsh,19,$1119563,$1891857,$2221677,$2406205,,,$3211420,12,19,4,0,8.3,0.3,1.3,0.2,0.0,0.8,0.0,0.3,0.5,0.5,0.2,0.0,0.0,,0.5,2.3,2.8,0.5,0.5,0.3,0.5,1.3,0.5
Drew Peterson,24,,,,,,,,16,24,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
Neemias Queta,24,,,,,,,,10,24,23,0,12.3,2.1,3.5,0.613,0.0,0.0,,2.1,3.5,0.613,0.613,0.7,0.9,0.75,1.9,2.5,4.4,0.5,0.4,0.6,0.4,2.0,4.9
JD Davison,21,,,,,,,,17,21,2,0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
