Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,25,52,52,35.8,9.3,19.5,.475,3.1,8.4,.363,6.2,11.0,.561,.554,5.6,6.8,.824,0.9,7.7,8.6,4.8,1.0,0.6,2.5,2.0,27.1
2,Jaylen Brown,27,50,50,33.4,8.5,17.3,.492,1.9,5.7,.342,6.6,11.6,.566,.549,3.0,4.2,.718,1.1,4.4,5.5,3.7,1.1,0.6,2.5,2.7,22.0
3,Jrue Holiday,33,50,50,33.3,5.0,10.5,.473,2.1,4.7,.440,2.9,5.8,.500,.571,1.1,1.3,.833,1.3,4.5,5.9,4.8,0.8,0.7,1.9,1.7,13.1
4,Derrick White,29,51,51,32.3,5.4,11.7,.462,2.7,6.7,.397,2.7,5.0,.551,.576,2.1,2.3,.891,0.6,3.3,3.9,4.7,1.0,1.2,1.6,2.2,15.6
5,Kristaps Porziņģis,28,40,40,29.5,6.8,12.8,.531,1.9,5.0,.368,5.0,7.8,.637,.604,4.8,5.7,.845,1.6,5.4,6.9,1.9,0.6,1.9,1.7,2.8,20.2
6,Al Horford,37,45,22,27.2,3.0,6.2,.484,1.6,4.0,.409,1.3,2.1,.625,.617,0.4,0.4,.850,1.2,5.5,6.7,2.9,0.6,1.0,0.7,1.5,8.0
7,Sam Hauser,26,54,6,21.5,2.8,6.3,.443,2.2,5.4,.412,0.6,0.9,.638,.620,0.3,0.3,.882,0.6,2.7,3.4,1.0,0.4,0.2,0.5,1.3,8.1
8,Payton Pritchard,26,55,0,20.7,2.9,6.7,.435,1.7,4.5,.380,1.2,2.2,.550,.564,0.5,0.7,.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.3,8.1
9,Luke Kornet,28,39,2,14.9,2.1,3.1,.689,0.0,0.0,,2.1,3.1,.689,.689,0.7,0.8,.879,1.9,2.1,4.0,0.9,0.4,1.0,0.4,1.4,4.9
10,Neemias Queta,24,23,0,12.3,2.1,3.5,.613,0.0,0.0,,2.1,3.5,.613,.613,0.7,0.9,.750,1.9,2.5,4.4,0.5,0.4,0.6,0.4,2.0,4.9
11,Oshae Brissett,25,36,0,11.1,1.3,2.8,.460,0.3,1.1,.293,0.9,1.6,.576,.520,1.0,1.4,.673,1.0,1.8,2.8,0.8,0.4,0.1,0.3,1.0,3.9
12,Jordan Walsh,19,4,0,8.3,0.3,1.3,.200,0.0,0.8,.000,0.3,0.5,.500,.200,0.0,0.0,,0.5,2.3,2.8,0.5,0.5,0.3,0.5,1.3,0.5
13,Svi Mykhailiuk,26,23,0,7.9,1.0,2.8,.338,0.7,2.3,.308,0.3,0.6,.462,.462,0.1,0.3,.500,0.2,0.7,0.9,0.4,0.3,0.0,0.3,0.5,2.7
14,Dalano Banton,24,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3
15,Lamar Stevens,26,19,1,6.4,1.1,2.4,.467,0.2,0.4,.375,0.9,1.9,.486,.500,0.4,0.6,.727,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,2.8
16,Drew Peterson,24,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
17,JD Davison,21,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
