,,Salary,Salary,Salary,Salary,Salary,Salary,
Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Ja Morant,24,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
Jaren Jackson Jr.,24,$27102202,$25257798,$23413395,,,,$75773395
Marcus Smart,29,$18833713,$20210284,$21586855,,,,$60630852
Luke Kennard,27,$14763636,$14763636,,,,,$14763636
Steven Adams,30,$12600000,$12600000,,,,,$25200000
Brandon Clarke,27,$12500000,$12500000,$12500000,$12500000,,,$50000000
Ziaire Williams,22,$4810200,$6133005,,,,,$10943205
Desmond Bane,25,$3845083,$34005250,$36725670,$39446090,$42166510,$44886930,$201075533
Jake LaRavia,22,$3199920,$3352680,$5163127,,,,$6552600
Derrick Rose,35,$3196448,$3356271,,,,,$6552719
David Roddy,22,$2718240,$2847240,$4831766,,,,$5565480
John Konchar,27,$2400000,$6165000,$6165000,$6165000,,,$20895000
Santi Aldama,23,$2194200,$3960531,,,,,$6154731
Xavier Tillman Sr.,25,$1930681,,,,,,$1930681
Jacob Gilyard,25,,,,,,,
Vince Williams Jr.,23,,,,,,,
Scotty Pippen Jr.,23,,,,,,,
Trey Jemison,24,,,,,,,
Gregory Jackson II,19,,,,,,,
Matthew Hurt,23,,,,,,,
Tosan Evbuomwan,22,,,,,,,
Bismack Biyombo,31,$5000000,,,,,,$5000000
Josh Christopher,22,$2485200,,,,,,$2485200
Isaiah Todd,22,$1836096,,,,,,$1836096
Kenneth Lofton Jr.,21,$1719864,,,,,,$1719864
Kennedy Chandler,21,$1719864,$2019699,,,,,$3739563
