Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
Ja Morant,24,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
Jaren Jackson Jr.,24,$27102202,$25257798,$23413395,,,,$75773395
Marcus Smart,29,$18833713,$20210284,$21586855,,,,$60630852
Luke Kennard,27,$14763636,$14763636,,,,,$14763636
Brandon Clarke,27,$12500000,$12500000,$12500000,$12500000,,,$50000000
Ziaire Williams,22,$4810200,$6133005,,,,,$10943205
Desmond Bane,25,$3845083,$34005250,$36725670,$39446090,$42166510,$44886930,$201075533
Jake LaRavia,22,$3199920,$3352680,$5163127,,,,$6552600
Derrick Rose,35,$3196448,$3356271,,,,,$6552719
John Konchar,27,$2400000,$6165000,$6165000,$6165000,,,$20895000
Yuta Watanabe,29,$2346614,$2654644,,,,,$2346614
Vince Williams Jr.,23,$2232308,$2120693,$2301587,$2489752,,,$6654588
Santi Aldama,23,$2194200,$3960531,,,,,$6154731
Lamar Stevens,26,$2019706,,,,,,$2019706
GG Jackson II,19,$1991428,$1891857,$2221677,$2406205,,,$6104962
Jordan Goodwin,25,$116075,,,,,,$116075
Scotty Pippen Jr.,23,,,,,,,
Trey Jemison,24,,,,,,,$64343
Jacob Gilyard,25,,,,,,,
Victor Oladipo,31,$9450000,,,,,,$9450000
Bismack Biyombo,31,$5000000,,,,,,$5000000
Josh Christopher,22,$2485200,,,,,,$2485200
Chimezie Metu,26,$2019706,,,,,,$2019706
Isaiah Todd,22,$1836096,,,,,,$1836096
Kennedy Chandler,21,$1719864,$2019699,,,,,$3739563
Kenneth Lofton Jr.,21,$1719864,,,,,,$1719864
