Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trae Young,25,$40064220,$43031940,$45999660,$48967380,,,$178063200,1,25,50,50,36.5,8.3,19.4,0.427,3.3,9.0,0.371,4.9,10.4,0.476,0.513,6.8,7.9,0.858,0.4,2.3,2.7,10.9,1.4,0.2,4.3,2.1,26.7
Clint Capela,29,$20616000,$22265280,,,,,$42881280,8,29,47,47,25.7,4.8,8.4,0.575,0.0,0.0,,4.8,8.4,0.575,0.575,1.8,2.8,0.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5
De'Andre Hunter,26,$20089286,$21696429,$23303571,$24910714,,,$90000000,6,26,31,24,28.4,5.0,10.6,0.47,2.0,4.7,0.421,3.0,5.9,0.508,0.563,3.0,3.4,0.894,0.6,3.2,3.8,1.3,0.8,0.4,1.5,2.8,14.9
Bogdan Bogdanović,31,$18700000,$17260000,$16020000,$16020000,,,$51980000,5,31,53,8,28.9,6.0,14.0,0.432,3.1,8.4,0.372,2.9,5.6,0.52,0.543,1.7,1.9,0.91,0.6,2.7,3.3,2.8,1.2,0.3,1.2,2.4,16.9
Dejounte Murray,27,$18214000,$25499599,$27539568,$29579537,$31619506,,$100832704,2,27,52,52,35.0,8.2,17.7,0.463,2.3,6.3,0.364,5.9,11.4,0.518,0.528,2.8,3.4,0.825,0.7,4.4,5.1,5.3,1.3,0.3,2.3,1.8,21.4
Onyeka Okongwu,23,$8109063,$14000000,$15000000,$16120000,$16880000,,$70109063,7,23,53,8,25.8,4.0,6.6,0.61,0.4,1.2,0.338,3.6,5.4,0.671,0.641,1.7,2.2,0.8,2.7,4.3,7.0,1.3,0.4,1.1,0.8,3.0,10.2
Patty Mills,35,$6802950,,,,,,$6802950,11,35,19,0,10.6,1.0,2.7,0.373,0.7,1.8,0.382,0.3,0.9,0.353,0.5,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7
Saddiq Bey,24,$4556983,,,,,,$4556983,4,24,54,42,32.5,4.6,10.8,0.422,1.8,5.6,0.316,2.8,5.2,0.537,0.504,2.6,3.1,0.829,2.6,3.9,6.6,1.5,0.9,0.1,0.8,1.5,13.5
Kobe Bufkin,20,$4094280,$4299000,$4503720,$6904203,,,$8393280,16,20,5,0,5.0,0.6,2.0,0.3,0.4,1.4,0.286,0.2,0.6,0.333,0.4,0.2,0.4,0.5,0.4,0.8,1.2,0.2,0.0,0.0,0.2,0.2,1.8
AJ Griffin,20,$3712920,$3889920,$5967137,,,,$7602840,14,20,18,0,7.3,0.7,2.5,0.289,0.5,1.8,0.273,0.2,0.7,0.333,0.389,0.1,0.1,1.0,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1
Jalen Johnson,22,$2925360,$4510905,,,,,$7436265,3,22,41,38,34.0,6.3,12.0,0.524,1.2,3.4,0.348,5.1,8.6,0.594,0.573,2.0,2.7,0.743,1.3,7.3,8.6,3.3,1.2,0.9,1.8,2.7,15.7
Bruno Fernando,25,$2581522,$2717391,$2853260,,,,,13,25,18,1,8.9,1.5,2.8,0.529,0.0,0.2,0.0,1.5,2.7,0.563,0.529,1.0,1.7,0.6,0.9,2.2,3.1,0.4,0.2,0.6,0.4,1.4,4.0
Wesley Matthews,37,$2019706,,,,,,$2019706,10,37,21,1,11.0,0.6,2.2,0.283,0.4,1.7,0.25,0.2,0.5,0.4,0.38,0.7,0.9,0.737,0.2,1.1,1.3,0.6,0.5,0.2,0.3,1.3,2.3
Garrison Mathews,27,$2000000,$2230253,,,,,,9,27,39,4,12.6,1.2,2.5,0.455,1.0,2.3,0.44,0.1,0.2,0.625,0.657,0.3,0.4,0.667,0.2,1.0,1.2,0.5,0.3,0.1,0.4,1.6,3.6
Mouhamed Gueye,21,$1119563,$1891857,$2221677,$2406205,,,$3011420,17,21,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Trent Forrest,25,,,,,,,,12,25,20,0,10.5,0.8,2.4,0.319,0.1,0.4,0.286,0.7,2.0,0.325,0.34,0.4,0.5,0.8,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,2.0
Vit Krejci,23,,,,,,,,18,23,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seth Lundy,23,,,,,,,,15,23,9,0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6
