No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
55,Duncan Robinson,SF,6-7,215,April 22 1994,us,5,Williams Michigan
11,Jaime Jaquez Jr.,SF,6-6,225,February 18 2001,us,R,UCLA
13,Bam Adebayo,C,6-9,255,July 18 1997,us,6,Kentucky
42,Kevin Love,PF,6-8,251,September 7 1988,us,15,UCLA
0,Josh Richardson,SG,6-5,200,September 15 1993,us,8,Tennessee
24,Haywood Highsmith,PF,6-7,220,December 9 1996,us,3,Wheeling University
16,Caleb Martin,SF,6-5,205,September 28 1995,us,4,NC State Nevada
22,Jimmy Butler,PF,6-7,230,September 14 1989,us,12,Marquette
14,Tyler Herro,SG,6-5,195,January 20 2000,us,4,Kentucky
31,Thomas Bryant,C,6-10,248,July 31 1997,us,6,Indiana
25,Orlando Robinson,C,7-0,235,July 10 2000,us,1,Fresno State
5,Nikola Jović,PF,6-10,209,June 9 2003,gb,1,
8,Jamal Cain  (TW),PF,6-7,191,March 20 1999,us,1,Marquette Oakland
2,Terry Rozier,PG,6-1,190,March 17 1994,us,8,Louisville
21,Cole Swider  (TW),SF,6-9,220,May 8 1999,us,1,Villanova Syracuse
9,Dru Smith,SG,6-3,203,December 30 1997,us,1,University of Evansville Missouri
15,Alondes Williams  (TW),SG,6-4,210,June 19 1999,us,1,Triton College Oklahoma Wake Forest
,Delon Wright,PG,6-5,185,April 26 1992,us,8,Utah
