Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lauri Markkanen,26,46,46,32.8,7.9,16.2,.491,3.2,8.0,.403,4.7,8.1,.579,.592,4.3,4.8,.887,2.3,6.2,8.6,1.9,0.8,0.5,1.3,1.9,23.4
2,Jordan Clarkson,31,46,19,30.2,6.1,14.8,.415,1.7,5.7,.299,4.4,9.1,.487,.472,3.3,3.8,.879,1.0,2.4,3.3,4.8,0.5,0.1,2.7,1.4,17.3
3,John Collins,26,52,50,27.8,5.7,10.8,.523,1.2,3.4,.335,4.5,7.4,.610,.576,1.8,2.4,.780,2.3,6.0,8.2,1.2,0.6,0.8,1.4,2.8,14.3
4,Keyonte George,20,50,19,24.9,3.7,9.5,.391,1.9,5.4,.348,1.8,4.1,.447,.489,2.3,2.9,.818,0.3,2.5,2.8,4.3,0.5,0.1,2.0,1.2,11.7
5,Collin Sexton,25,56,33,24.6,6.1,12.5,.487,1.6,4.1,.390,4.5,8.4,.534,.551,4.1,4.7,.868,0.9,1.7,2.6,4.6,0.7,0.2,1.9,2.0,17.9
6,Walker Kessler,22,48,17,23.4,3.8,5.8,.652,0.1,0.4,.222,3.7,5.4,.682,.659,0.9,1.6,.560,2.6,4.9,7.5,0.9,0.5,2.8,1.0,2.2,8.5
7,Simone Fontecchio,28,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9
8,Kelly Olynyk,32,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
9,Talen Horton-Tucker,23,36,11,20.2,3.8,9.2,.411,1.1,3.4,.331,2.6,5.8,.459,.473,1.7,2.2,.782,0.5,2.0,2.4,3.9,1.0,0.3,1.5,1.9,10.4
10,Ochai Agbaji,23,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4
11,Kris Dunn,29,48,27,18.0,2.2,4.6,.477,0.7,1.6,.416,1.5,3.0,.510,.550,0.3,0.5,.696,0.7,2.2,2.9,4.1,1.0,0.5,1.3,1.9,5.4
12,Taylor Hendricks,20,17,0,14.7,1.7,4.4,.387,0.9,2.7,.326,0.8,1.7,.483,.487,0.4,0.5,.750,0.9,1.9,2.9,0.5,0.6,0.5,0.9,1.1,4.6
13,Omer Yurtseven,25,30,6,9.1,1.3,2.8,.482,0.1,0.5,.200,1.2,2.3,.544,.500,0.2,0.4,.538,1.2,2.4,3.6,0.4,0.1,0.4,0.8,1.2,3.0
14,Luka Šamanić,24,26,0,5.7,0.9,2.3,.377,0.2,0.9,.250,0.7,1.4,.459,.426,0.7,0.8,.810,0.3,1.3,1.7,0.2,0.0,0.1,0.4,0.6,2.7
15,Micah Potter,25,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Johnny Juzang,22,2,0,3.0,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17,Brice Sensabaugh,20,6,0,2.7,0.5,1.7,.300,0.2,0.7,.250,0.3,1.0,.333,.350,0.2,0.2,1.000,0.2,0.5,0.7,0.3,0.0,0.0,0.2,0.2,1.3
18,Kira Lewis Jr.,22,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
19,Jason Preston,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
