Player,Age,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
John Collins,26,$25340000,$26580000,$26580000,,,,$78500000
Jordan Clarkson,31,$23487629,$14092577,$14285714,,,,$51865920
Collin Sexton,25,$17325000,$18150000,$18975000,,,,$54450000
Lauri Markkanen,26,$17259999,$18044544,,,,,$23259999
Kelly Olynyk,32,$12195122,,,,,,$3000000
Talen Horton-Tucker,23,$11020000,,,,,,$11020000
Taylor Hendricks,20,$5569920,$5848680,$6127080,$7805900,,,$11418600
Ochai Agbaji,23,$4114200,$4310280,$6383525,,,,$8424480
Keyonte George,20,$3889800,$4084200,$4278960,$6563925,,,$7974000
Simone Fontecchio,28,$3044872,,,,,,$3044872
Walker Kessler,22,$2831160,$2965920,$4878938,,,,$5797080
Omer Yurtseven,25,$2800000,$2660000,,,,,$5460000
Kris Dunn,29,$2586665,,,,,,
Brice Sensabaugh,20,$2448600,$2571480,$2693760,$4862237,,,$5020080
Luka Šamanić,24,$2066585,,,,,,
Johnny Juzang,22,,,,,,,
Micah Potter,25,,,,,,,
Jason Preston,24,,,,,,,
