Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nikola Jokić,29,$47607350,$51415938,$55224526,$59033114,$62841702,,$213280928,1,28,53,53,33.8,10.2,17.7,0.577,1.1,3.0,0.352,9.2,14.7,0.623,0.607,4.6,5.7,0.813,3.0,9.1,12.0,8.9,1.2,0.9,2.9,2.5,26.1
Jamal Murray,26,$33833400,$36016200,,,,,$69849600,5,26,40,40,31.5,7.7,16.5,0.468,2.4,5.9,0.411,5.3,10.6,0.5,0.542,2.7,3.2,0.849,0.7,3.3,3.9,6.5,0.8,0.7,2.0,1.9,20.5
Michael Porter Jr.,25,$33386850,$35859950,$38333050,$40806150,,,$119579850,4,25,54,54,31.6,6.1,13.0,0.47,2.7,6.9,0.394,3.4,6.2,0.556,0.574,1.0,1.2,0.791,1.3,5.6,6.9,1.4,0.4,0.7,1.1,1.9,15.9
Aaron Gordon,28,$22266182,$23841455,$23841455,,,,$46107637,3,28,49,49,31.7,5.4,10.0,0.545,0.6,1.9,0.315,4.8,8.1,0.598,0.575,2.4,3.7,0.641,2.5,4.2,6.7,3.1,0.8,0.7,1.4,1.8,13.8
Kentavious Caldwell-Pope,31,$14704938,$15440185,,,,,$14704938,2,30,50,50,31.9,3.5,7.9,0.443,1.4,3.8,0.379,2.0,4.1,0.502,0.534,1.6,1.8,0.921,0.4,1.9,2.3,2.3,1.3,0.5,1.0,1.9,10.0
Reggie Jackson,33,$5000000,$5250000,,,,,$5000000,6,33,55,15,23.1,4.3,9.5,0.457,1.3,3.4,0.372,3.1,6.1,0.505,0.524,0.9,1.2,0.776,0.4,1.7,2.1,4.0,0.6,0.2,1.3,1.8,10.9
Zeke Nnaji,23,$4306281,$8888889,$8177778,$7466667,$7466667,,$28839615,12,23,40,0,9.6,1.2,2.7,0.439,0.1,0.5,0.278,1.1,2.2,0.472,0.463,0.8,1.2,0.681,1.2,1.0,2.2,0.6,0.3,0.6,0.6,1.5,3.3
Christian Braun,22,$2949120,$3089640,$4921797,,,,$6038760,7,22,55,0,19.0,2.5,5.7,0.438,0.7,1.8,0.36,1.9,3.9,0.474,0.495,1.3,1.8,0.732,0.8,2.7,3.5,1.4,0.4,0.4,0.7,1.5,7.0
Julian Strawther,21,$2431080,$2552520,$2674200,$4826931,,,$4983600,10,21,35,0,13.9,2.1,5.6,0.378,1.1,3.5,0.309,1.0,2.1,0.493,0.474,0.5,0.7,0.72,0.1,1.4,1.5,1.1,0.5,0.2,0.5,1.4,5.8
Peyton Watson,21,$2303520,$2413560,$4356476,,,,$4717080,8,21,53,4,18.3,2.6,5.5,0.473,0.7,2.1,0.336,1.9,3.5,0.554,0.536,0.9,1.3,0.7,0.6,2.3,2.9,1.0,0.6,0.9,0.7,1.8,6.9
DeAndre Jordan,35,$2019706,,,,,,$2019706,11,35,29,1,11.3,1.7,2.6,0.632,0.0,0.0,,1.7,2.6,0.632,0.632,0.8,1.7,0.449,1.7,2.9,4.6,0.7,0.2,0.4,0.7,1.7,4.1
Justin Holiday,34,$2019706,,,,,,$2019706,9,34,32,9,14.8,1.4,3.2,0.446,0.9,2.2,0.394,0.5,0.9,0.567,0.584,0.1,0.1,0.75,0.2,1.1,1.3,1.0,0.6,0.1,0.3,1.4,3.8
Jalen Pickett,24,$1708143,$1891857,$2221677,$2406205,,,$5821677,14,24,16,0,6.1,0.8,1.8,0.429,0.4,1.3,0.35,0.3,0.5,0.625,0.554,0.1,0.1,1.0,0.1,0.6,0.7,0.8,0.2,0.0,0.4,0.5,2.1
Hunter Tyson,23,$1119563,$1891857,$2221677,$2406205,,,$5233097,16,23,9,0,3.0,0.1,0.8,0.143,0.0,0.7,0.0,0.1,0.1,1.0,0.143,0.0,0.0,,0.0,0.7,0.7,0.1,0.0,0.0,0.2,0.7,0.2
Braxton Key,27,,,,,,,,15,26,15,0,3.4,0.4,1.0,0.4,0.1,0.3,0.25,0.3,0.7,0.455,0.433,0.3,0.4,0.667,0.2,0.6,0.8,0.5,0.1,0.0,0.1,0.3,1.1
Jay Huff,25,,,,,,,,17,25,8,0,2.8,0.5,0.9,0.571,0.3,0.6,0.4,0.3,0.3,1.0,0.714,0.0,0.0,,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,1.3
Collin Gillespie,24,,,,,,,,13,24,18,0,7.6,0.9,2.0,0.444,0.4,1.1,0.35,0.5,0.9,0.563,0.542,0.3,0.4,0.714,0.1,0.5,0.6,0.7,0.5,0.0,0.6,0.9,2.4
