Player,Age,Salary,Salary,Salary,Salary,Salary,Salary,
RJ Barrett,23,$23883929,$25794643,$27705357,$29616071,,,$107000000
Bruce Brown,27,$22000000,$23000000,,,,,$22000000
Jakob Poeltl,28,$19500000,$19500000,$19500000,$19500000,,,$58500000
Gary Trent Jr.,25,$18560000,,,,,,$18560000
Kelly Olynyk,32,$12195122,,,,,,$3000000
Chris Boucher,31,$11750000,$10810000,,,,,$22560000
Scottie Barnes,22,$8008680,$10130980,,,,,$18139660
Gradey Dick,20,$4536720,$4763760,$4990560,$7131511,,,$9300480
Jalen McDaniels,26,$4516000,$4741800,,,,,$9257800
Immanuel Quickley,24,$4171548,,,,,,$4171548
Ochai Agbaji,23,$4114200,$4310280,$6383525,,,,$8424480
Jordan Nwora,25,$3000000,,,,,,$3000000
Garrett Temple,37,$2019706,,,,,,$2019706
Javon Freeman-Liberty,24,,,,,,,
Markquis Nowell,24,,,,,,,
Jontay Porter,24,,,,,,,
Spencer Dinwiddie,30,$20357143,,,,,,$20357143
Christian Koloko,23,$1719864,$2019699,,,,,$1719864
