Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Devin Vassell,23,45,39,31.6,6.8,14.6,.467,2.5,6.8,.366,4.4,7.8,.555,.552,2.5,3.1,.801,0.4,3.3,3.6,3.6,1.1,0.3,1.4,1.0,18.7
2,Keldon Johnson,24,46,26,30.4,6.1,13.3,.455,1.8,5.2,.342,4.3,8.2,.527,.521,2.8,3.6,.776,1.5,4.4,5.9,3.2,0.9,0.3,1.6,2.4,16.7
3,Jeremy Sochan,20,50,49,29.5,4.5,10.2,.439,1.0,2.9,.350,3.5,7.3,.474,.488,1.6,2.0,.775,1.9,4.3,6.2,3.7,0.7,0.5,2.0,2.4,11.5
4,Victor Wembanyama,20,44,44,28.6,7.5,16.2,.462,1.5,4.9,.301,6.0,11.3,.532,.508,4.0,4.9,.813,2.3,8.0,10.3,3.2,1.2,3.1,3.4,2.3,20.4
5,Tre Jones,24,45,16,26.0,3.8,7.7,.497,0.6,2.3,.284,3.2,5.4,.586,.539,1.4,1.6,.886,0.7,2.5,3.2,5.8,1.0,0.1,1.4,1.3,9.7
6,Zach Collins,26,38,24,25.0,4.6,9.7,.476,0.9,3.3,.283,3.7,6.4,.576,.524,1.9,2.4,.763,1.9,3.8,5.7,3.1,0.6,0.7,2.2,3.3,12.1
7,Malaki Branham,20,45,21,20.5,3.3,7.6,.431,0.9,3.0,.301,2.4,4.6,.517,.491,0.6,0.6,.929,0.3,1.7,2.0,2.2,0.4,0.1,1.1,1.2,8.1
8,Cedi Osman,28,50,1,18.1,2.7,5.7,.477,1.2,3.2,.370,1.5,2.5,.616,.582,0.6,1.0,.667,0.4,2.1,2.5,1.8,0.5,0.2,0.7,1.6,7.3
9,Julian Champagnie,22,43,28,16.4,1.9,4.7,.404,1.3,3.4,.381,0.6,1.3,.464,.542,0.8,1.0,.810,0.5,1.9,2.3,1.0,0.6,0.6,0.7,1.1,5.9
10,Doug McDermott,32,45,0,15.3,2.1,4.7,.443,1.7,3.8,.441,0.4,0.9,.452,.620,0.2,0.4,.588,0.2,0.9,1.0,1.3,0.2,0.0,0.5,1.0,6.1
11,Dominick Barlow,20,22,1,13.4,1.8,3.6,.494,0.1,0.3,.429,1.6,3.3,.500,.513,0.8,1.3,.607,1.2,2.2,3.4,1.2,0.4,0.5,0.2,1.5,4.5
12,Blake Wesley,20,29,1,11.7,1.5,3.1,.483,0.1,0.7,.105,1.4,2.4,.586,.494,0.4,0.9,.520,0.2,0.9,1.1,2.3,0.5,0.1,0.6,1.4,3.5
13,Charles Bassey,23,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
14,Devonte' Graham,28,10,0,8.8,1.1,2.8,.393,0.7,2.0,.350,0.4,0.8,.500,.518,0.6,0.8,.750,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5
15,Sandro Mamukelashvili,24,26,0,6.8,0.9,2.3,.407,0.3,1.2,.250,0.6,1.0,.593,.475,0.5,0.6,.750,0.6,1.3,1.9,1.0,0.2,0.3,0.3,0.7,2.6
16,Sidy Cissoko,19,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
17,Mamadi Diakite,27,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0
