Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,35,42,42,37.3,10.2,19.1,.535,2.3,5.1,.453,7.9,14.0,.564,.595,5.8,6.6,.877,0.5,5.9,6.4,5.8,0.9,1.3,3.1,1.9,28.5
2,Devin Booker,27,40,40,36.3,9.9,19.7,.502,2.3,6.0,.388,7.6,13.7,.552,.561,6.1,6.9,.877,0.7,4.2,4.9,7.2,0.9,0.4,2.7,3.0,28.2
3,Bradley Beal,30,25,25,33.4,6.7,14.0,.480,1.4,4.3,.324,5.3,9.7,.550,.530,2.3,3.0,.760,0.8,3.5,4.3,4.6,0.8,0.3,2.4,2.7,17.1
4,Grayson Allen,28,43,43,33.0,4.5,8.6,.519,2.6,5.3,.496,1.8,3.3,.556,.672,1.7,1.9,.888,0.7,3.4,4.1,2.9,0.9,0.6,1.4,2.2,13.2
5,Eric Gordon,35,41,20,30.2,4.7,10.3,.454,2.5,6.6,.384,2.1,3.7,.580,.577,0.8,1.0,.780,0.3,1.9,2.2,2.3,1.0,0.5,1.3,1.3,12.6
6,Jusuf Nurkić,29,46,46,27.3,4.6,8.9,.511,0.5,1.7,.266,4.1,7.2,.569,.536,2.3,3.2,.705,2.6,7.7,10.2,3.6,1.0,1.0,2.1,3.3,11.9
7,Josh Okogie,25,43,11,18.2,1.6,3.9,.407,0.5,1.8,.273,1.1,2.1,.522,.470,1.5,2.1,.719,1.3,1.7,2.9,1.2,0.9,0.5,0.5,1.4,5.1
8,Drew Eubanks,26,43,3,16.2,2.3,3.7,.637,0.1,0.1,1.000,2.3,3.6,.630,.646,1.0,1.3,.741,1.4,2.9,4.3,1.0,0.3,0.8,1.0,1.7,5.7
9,Keita Bates-Diop,28,38,8,15.5,1.7,3.9,.423,0.5,1.7,.313,1.1,2.2,.506,.490,0.7,0.9,.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.9,4.5
10,Jordan Goodwin,25,38,0,14.4,1.9,5.0,.384,0.6,2.1,.288,1.3,2.9,.455,.445,0.6,0.7,.852,1.1,2.0,3.1,2.0,0.6,0.2,0.8,1.1,5.1
11,Yuta Watanabe,29,27,0,13.9,1.2,3.4,.344,0.9,2.7,.315,0.3,0.7,.450,.468,0.4,0.6,.667,0.4,1.3,1.7,0.4,0.3,0.3,0.6,1.3,3.6
12,Nassir Little,23,28,2,13.4,1.6,3.4,.484,0.6,1.9,.308,1.1,1.5,.698,.568,0.6,0.7,.850,0.5,1.7,2.2,0.6,0.4,0.3,0.4,1.1,4.5
13,Chimezie Metu,26,36,5,12.2,1.8,3.5,.508,0.4,1.4,.294,1.4,2.1,.653,.567,1.1,1.2,.884,0.6,2.3,3.0,0.5,0.5,0.3,0.7,1.1,5.0
14,Udoka Azubuike,24,12,0,8.5,1.3,1.8,.727,0.0,0.0,,1.3,1.8,.727,.727,0.3,0.9,.273,0.9,1.7,2.6,0.3,0.0,0.5,0.3,1.4,2.9
15,Bol Bol,24,12,0,7.2,1.4,1.9,.739,0.3,0.4,.600,1.2,1.5,.778,.804,0.3,0.4,.800,0.8,1.5,2.3,0.5,0.3,0.5,0.5,0.8,3.4
16,Saben Lee,24,11,0,6.8,0.8,1.9,.429,0.0,0.5,.000,0.8,1.5,.563,.429,1.2,1.5,.765,0.5,0.6,1.1,1.1,0.3,0.3,0.5,0.5,2.8
