Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shai Gilgeous-Alexander,25,48,48,34.3,10.9,20.0,.548,1.2,3.4,.352,9.8,16.6,.588,.578,8.3,9.3,.890,0.9,4.7,5.6,6.4,2.3,0.8,2.2,2.5,31.3
2,Jalen Williams,22,44,44,31.9,7.3,13.5,.539,1.4,3.2,.450,5.9,10.4,.566,.591,2.6,3.3,.806,0.5,3.5,4.0,4.5,1.1,0.5,1.7,2.7,18.7
3,Chet Holmgren,21,49,49,30.0,6.3,11.9,.534,1.6,4.2,.385,4.7,7.7,.614,.602,2.4,3.2,.769,1.5,6.1,7.6,2.7,0.6,2.6,1.7,2.5,16.7
4,Luguentz Dort,24,47,47,28.3,3.5,8.0,.439,1.8,4.7,.388,1.7,3.3,.510,.552,1.6,2.0,.809,1.1,2.7,3.8,1.3,0.8,0.7,0.9,3.0,10.4
5,Josh Giddey,21,48,48,24.7,4.7,10.4,.449,0.9,2.8,.326,3.8,7.6,.493,.492,1.2,1.5,.817,1.4,4.9,6.3,4.6,0.7,0.5,2.1,1.2,11.4
6,Cason Wallace,20,49,8,21.1,2.6,5.1,.514,1.1,2.7,.423,1.5,2.5,.612,.624,0.4,0.5,.833,0.6,1.7,2.3,1.4,0.7,0.4,0.5,1.8,6.8
7,Isaiah Joe,24,47,0,18.8,3.0,6.4,.462,2.0,4.8,.424,0.9,1.6,.571,.620,0.7,0.8,.842,0.4,2.0,2.4,1.1,0.6,0.3,0.6,1.2,8.6
8,Kenrich Williams,29,38,1,15.0,1.9,3.9,.473,0.8,2.1,.397,1.1,1.9,.556,.577,0.1,0.3,.300,0.8,2.2,2.9,1.2,0.6,0.2,0.4,1.4,4.6
9,Aaron Wiggins,25,46,0,13.6,2.3,3.8,.599,0.7,1.3,.542,1.6,2.6,.627,.689,0.5,0.7,.750,0.6,1.7,2.3,0.9,0.5,0.1,0.5,1.2,5.8
10,Jaylin Williams,21,41,0,12.2,1.3,3.2,.405,0.7,2.0,.349,0.6,1.2,.500,.515,0.4,0.5,.842,0.5,2.7,3.2,1.3,0.4,0.4,0.4,1.5,3.7
11,Vasilije Micić,30,28,0,12.0,1.3,3.1,.419,0.4,1.5,.244,0.9,1.6,.578,.477,0.5,0.7,.737,0.0,0.8,0.8,2.5,0.3,0.1,0.9,0.8,3.4
12,Ousmane Dieng,20,24,0,11.6,1.5,3.5,.446,0.7,2.2,.321,0.8,1.3,.667,.548,0.5,0.6,.857,0.4,1.4,1.8,1.0,0.1,0.0,0.5,0.8,4.3
13,Tre Mann,22,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8
14,Keyontae Johnson,23,7,0,8.1,0.6,1.7,.333,0.1,0.3,.500,0.4,1.4,.300,.375,0.0,0.0,,0.4,0.4,0.9,0.6,0.0,0.0,0.6,0.6,1.3
15,Lindy Waters III,26,19,0,7.8,1.0,2.4,.422,0.9,2.2,.405,0.1,0.2,.667,.611,0.0,0.0,,0.1,1.0,1.1,0.6,0.0,0.2,0.2,0.7,2.9
16,Olivier Sarr,24,11,0,7.4,0.6,1.3,.500,0.2,0.5,.333,0.5,0.7,.625,.571,0.6,0.9,.700,0.7,2.1,2.8,0.2,0.0,0.5,0.3,1.5,2.1
17,Aleksej Pokusevski,22,9,0,6.1,0.4,1.7,.267,0.2,1.1,.200,0.2,0.6,.400,.333,0.2,0.4,.500,0.2,0.9,1.1,0.6,0.1,0.1,0.3,0.6,1.3
18,Dāvis Bertāns,31,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
