Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Edwards,22,52,52,35.0,9.1,19.3,.471,2.6,6.7,.386,6.5,12.7,.515,.537,5.5,6.5,.841,0.6,4.7,5.2,5.3,1.2,0.5,3.3,2.0,26.3
2,Rudy Gobert,31,54,54,33.4,5.2,8.0,.647,0.0,0.0,.000,5.2,8.0,.650,.647,3.4,5.2,.645,3.6,9.0,12.5,1.2,0.6,2.1,1.5,3.0,13.7
3,Karl-Anthony Towns,28,54,54,32.7,8.0,15.4,.517,2.2,5.1,.437,5.7,10.3,.558,.590,4.3,4.9,.878,1.4,6.9,8.4,2.9,0.7,0.6,2.8,3.3,22.5
4,Mike Conley,36,50,50,28.9,3.5,8.0,.444,2.3,5.2,.442,1.2,2.8,.446,.588,1.2,1.3,.923,0.4,2.5,2.9,6.4,1.0,0.2,1.1,1.7,10.6
5,Jaden McDaniels,23,45,44,28.7,4.4,8.7,.505,1.2,3.4,.357,3.2,5.2,.602,.576,0.7,0.9,.795,0.8,1.9,2.7,1.3,0.9,0.5,1.3,3.0,10.7
6,Nickeil Alexander-Walker,25,55,16,23.1,2.5,5.9,.429,1.5,3.9,.376,1.1,2.0,.532,.552,0.5,0.7,.763,0.4,1.5,1.9,2.5,0.9,0.5,1.0,1.9,7.0
7,Naz Reid,24,55,0,22.5,4.6,9.5,.489,1.9,4.6,.418,2.7,4.9,.556,.590,1.1,1.4,.753,0.9,3.7,4.6,1.0,0.7,0.7,1.2,2.0,12.2
8,Kyle Anderson,30,55,2,21.8,2.3,5.1,.464,0.1,0.6,.219,2.2,4.5,.496,.477,1.3,1.8,.700,0.8,2.7,3.5,4.1,0.8,0.5,1.2,1.5,6.1
9,Monte Morris,28,3,0,15.0,2.3,5.3,.438,0.7,3.0,.222,1.7,2.3,.714,.500,0.3,0.3,1.000,0.0,1.3,1.3,2.3,1.0,0.3,0.3,0.7,5.7
10,Shake Milton,27,38,0,12.9,1.7,4.2,.400,0.4,1.4,.264,1.3,2.8,.467,.444,0.9,1.2,.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7
11,Troy Brown Jr.,24,37,3,11.1,1.4,3.2,.441,0.8,2.3,.369,0.6,0.9,.618,.572,0.5,0.6,.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2
12,Jordan McLaughlin,27,33,0,8.9,0.9,2.3,.395,0.5,1.3,.395,0.4,1.0,.394,.507,0.1,0.2,.500,0.3,0.7,1.0,1.6,0.7,0.2,0.3,0.5,2.5
13,Leonard Miller,20,7,0,3.7,1.0,1.6,.636,0.1,0.4,.333,0.9,1.1,.750,.682,0.0,0.0,,0.1,1.3,1.4,0.4,0.1,0.1,0.1,0.4,2.1
14,Daishen Nix,21,10,0,3.5,0.8,1.9,.421,0.5,1.3,.385,0.3,0.6,.500,.553,0.1,0.4,.250,0.0,0.1,0.1,0.2,0.2,0.0,0.1,0.1,2.2
15,Josh Minott,21,19,0,3.2,0.5,1.1,.476,0.1,0.3,.167,0.5,0.8,.600,.500,0.6,0.7,.857,0.2,0.4,0.5,0.2,0.2,0.2,0.1,0.4,1.7
16,Wendell Moore Jr.,22,14,0,3.1,0.4,0.7,.500,0.0,0.3,.000,0.4,0.4,.833,.500,0.0,0.0,,0.0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7
17,Luka Garza,25,13,0,3.0,0.8,1.9,.440,0.2,0.7,.333,0.6,1.2,.500,.500,0.6,0.9,.667,0.5,0.4,0.8,0.2,0.0,0.0,0.2,0.8,2.5
