Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jalen Brunson,27,52,52,35.9,9.8,20.4,.483,2.7,6.5,.411,7.2,13.9,.516,.548,5.3,6.3,.835,0.6,3.3,3.8,6.5,0.9,0.2,2.4,2.0,27.6
2,OG Anunoby,26,14,14,35.7,5.8,11.2,.516,1.8,4.6,.391,4.0,6.6,.602,.596,2.3,2.7,.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
3,Julius Randle,29,46,46,35.4,8.6,18.2,.472,1.7,5.3,.311,6.9,12.9,.539,.518,5.1,6.6,.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0
4,Josh Hart,28,54,15,29.9,3.0,7.1,.423,0.9,3.0,.306,2.1,4.2,.507,.487,0.9,1.0,.839,1.3,5.8,7.1,3.2,0.8,0.3,1.3,1.9,7.8
5,RJ Barrett,23,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
6,Mitchell Robinson,25,21,21,29.2,2.8,4.7,.592,0.0,0.0,,2.8,4.7,.592,.592,0.7,1.8,.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2
7,Bojan Bogdanović,34,2,0,28.0,5.0,11.5,.435,1.5,5.5,.273,3.5,6.0,.583,.500,1.5,2.5,.600,0.0,3.5,3.5,0.5,0.5,0.5,0.5,2.0,13.0
8,Isaiah Hartenstein,25,50,24,25.6,2.9,4.6,.619,0.0,0.1,.333,2.8,4.6,.623,.621,1.4,2.0,.707,3.4,5.3,8.7,2.0,1.2,1.1,1.2,2.9,7.1
9,Precious Achiuwa,24,23,9,25.3,3.5,6.6,.526,0.3,1.0,.250,3.2,5.6,.578,.546,0.7,1.0,.773,3.2,4.0,7.3,0.9,0.6,1.0,0.9,2.1,8.0
10,Donte DiVincenzo,27,54,36,25.0,4.8,10.6,.458,3.0,7.3,.415,1.8,3.2,.554,.602,0.9,1.3,.729,0.7,2.5,3.3,2.5,1.2,0.3,1.2,1.9,13.6
11,Immanuel Quickley,24,30,0,24.0,5.1,11.2,.454,2.1,5.4,.395,2.9,5.8,.509,.549,2.7,3.1,.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0
12,Alec Burks,32,3,1,23.0,4.3,12.7,.342,2.3,6.0,.389,2.0,6.7,.300,.434,2.3,2.7,.875,0.7,1.3,2.0,1.0,0.0,0.0,1.7,1.7,13.3
13,Quentin Grimes,23,45,18,20.2,2.5,6.4,.395,1.7,4.7,.363,0.8,1.6,.486,.530,0.5,0.8,.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3
14,Evan Fournier,31,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0
15,Miles McBride,23,42,3,12.4,2.1,5.0,.433,1.1,2.8,.407,1.0,2.1,.467,.548,0.5,0.6,.800,0.2,0.7,0.9,1.0,0.6,0.1,0.4,1.2,5.9
16,Jericho Sims,25,28,9,11.0,0.9,1.3,.714,0.0,0.0,,0.9,1.3,.714,.714,0.2,0.4,.600,0.9,1.6,2.5,0.3,0.1,0.4,0.3,0.9,2.0
17,Taj Gibson,38,16,1,10.3,0.4,1.4,.304,0.0,0.4,.000,0.4,1.1,.412,.304,0.1,0.1,1.000,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0
18,Jacob Toppin,23,5,0,6.6,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.4,0.4,1.000,0.6,0.6,1.2,0.4,0.0,0.2,0.2,0.6,2.6
19,Charlie Brown Jr.,26,6,0,5.5,0.3,1.5,.222,0.3,1.0,.333,0.0,0.5,.000,.333,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.3,0.3,0.8,1.0
20,Malachi Flynn,25,14,0,4.3,0.6,1.6,.391,0.3,0.9,.308,0.4,0.7,.500,.478,0.6,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2
21,DaQuan Jeffries,26,10,0,3.0,0.5,1.2,.417,0.1,0.5,.200,0.4,0.7,.571,.458,0.0,0.2,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.1,0.2,1.1
22,Ryan Arcidiacono,29,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
23,Dylan Windler,27,3,0,2.3,0.3,0.7,.500,0.3,0.7,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0
24,Dmytro Skapintsev,25,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
