Rk,Player,Age_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_y,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed
1,Brandon Ingram,26,36,36,33.2,8.1,16.4,0.497,1.3,3.7,0.351,6.8,12.6,0.541,0.537,4.1,5.0,0.817,0.6,4.0,4.6,5.4,0.8,0.5,2.5,2.2,21.7,26,$33833400,$36016200,,,,,$69849600
2,CJ McCollum,32,26,26,32.3,6.9,14.9,0.464,3.5,7.9,0.444,3.4,7.0,0.486,0.581,2.1,2.7,0.783,0.6,3.6,4.2,5.1,1.3,0.8,1.6,2.0,19.4,32,$35802469,$33333333,$30666666,,,,$99802468
3,Zion Williamson,23,32,32,30.4,8.7,14.8,0.584,0.1,0.3,0.333,8.6,14.5,0.589,0.588,4.6,6.9,0.664,1.9,4.1,5.9,4.6,0.9,0.4,2.6,2.7,22.0,23,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
4,Herbert Jones,25,36,36,29.0,3.7,7.8,0.479,1.3,3.4,0.377,2.4,4.4,0.557,0.561,1.9,2.2,0.873,1.1,2.6,3.7,2.5,1.3,1.0,1.3,2.8,10.6,25,$12015150,$12976362,$13937574,$14898786,,,$53827872
5,Jonas Valančiūnas,31,39,39,26.8,5.6,9.9,0.571,0.7,1.9,0.378,4.9,8.0,0.617,0.608,2.3,2.8,0.809,2.4,7.2,9.6,2.2,0.6,1.2,1.4,3.2,14.3,31,$15435000,,,,,,$15435000
6,Trey Murphy III,23,16,2,26.1,4.4,10.1,0.441,2.7,6.8,0.394,1.8,3.3,0.538,0.575,1.8,2.1,0.848,0.4,3.3,3.7,2.3,0.8,0.4,0.6,1.1,13.3,23,$3359280,$5159854,,,,,$8519134
7,Matt Ryan,26,13,1,22.9,2.9,6.4,0.458,2.5,5.2,0.471,0.5,1.2,0.4,0.651,1.0,1.1,0.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,26,,,,,,,
8,Dyson Daniels,20,39,13,22.5,2.3,5.4,0.431,0.7,2.4,0.29,1.6,3.0,0.543,0.495,0.7,1.2,0.63,0.9,2.9,3.8,2.7,1.4,0.3,0.9,1.6,6.1,20,$5784120,$6059520,$7707709,,,,$11843640
9,Jordan Hawkins,21,34,9,21.6,3.3,8.5,0.39,2.0,5.5,0.371,1.3,3.1,0.423,0.509,1.4,1.6,0.855,0.5,2.2,2.7,1.4,0.3,0.1,0.7,1.4,10.1,21,$4310160,$4525680,$4741320,$7021895,,,$8835840
10,Naji Marshall,26,30,0,18.7,2.8,6.0,0.461,0.9,2.5,0.378,1.8,3.5,0.519,0.539,1.6,1.9,0.825,1.1,2.7,3.8,2.1,0.7,0.2,1.1,1.4,8.0,25,$1930681,,,,,,$1930681
11,Larry Nance Jr.,31,22,0,17.0,2.0,3.6,0.557,0.5,1.0,0.478,1.5,2.5,0.589,0.627,0.5,0.8,0.667,1.5,3.6,5.1,1.0,1.0,0.4,1.0,1.2,5.0,31,$10375000,$11205000,,,,,$21580000
12,Jose Alvarado,25,23,0,17.0,2.5,6.0,0.41,1.3,3.3,0.395,1.2,2.7,0.429,0.518,0.7,1.2,0.63,0.5,1.8,2.3,1.9,1.0,0.4,0.9,1.4,7.0,25,$1836096,$1988598,,,,,
13,Jeremiah Robinson-Earl,23,16,1,10.8,1.6,2.9,0.553,0.5,1.1,0.444,1.1,1.8,0.621,0.638,0.4,0.4,1.0,0.7,1.9,2.6,0.6,0.3,0.2,0.5,0.8,4.1,23,,,,,,,
14,Dereon Seabron,23,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1.0,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8,23,,,,,,,
15,Kira Lewis Jr.,22,14,0,9.7,1.1,3.6,0.32,0.1,1.4,0.105,1.0,2.2,0.452,0.34,0.6,0.6,0.889,0.3,0.6,0.9,1.3,0.4,0.1,0.5,0.6,3.0,22,$5722116,,,,,,$5722116
16,Cody Zeller,31,28,0,9.0,0.7,1.8,0.388,0.0,0.1,0.333,0.6,1.6,0.391,0.398,0.7,1.2,0.606,1.2,1.6,2.8,1.1,0.1,0.1,0.4,1.3,2.1,31,$2019706,,,,,,$2019706
18,E.J. Liddell,23,6,0,2.8,0.2,0.8,0.2,0.0,0.7,0.0,0.2,0.2,1.0,0.2,0.3,0.3,1.0,0.0,0.5,0.5,0.2,0.0,0.3,0.3,0.3,0.7,23,$1801769,$2120693,$2301587,,,,$3922462
