Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shai Gilgeous-Alexander,25,$33386850,$35859950,$38333050,$40806150,,,$148386000,1,25,48,48,34.3,10.9,20.0,0.548,1.2,3.4,0.352,9.8,16.6,0.588,0.578,8.3,9.3,0.89,0.9,4.7,5.6,6.4,2.3,0.8,2.2,2.5,31.3
Dāvis Bertāns,31,$17000000,$16000000,,,,,$28000000,18,31,15,0,6.1,0.7,1.7,0.385,0.7,1.6,0.417,0.0,0.1,0.0,0.577,0.9,1.0,0.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9
Luguentz Dort,24,$15277778,$16500000,$17722222,$17722222,,,$49500000,4,24,47,47,28.3,3.5,8.0,0.439,1.8,4.7,0.388,1.7,3.3,0.51,0.552,1.6,2.0,0.809,1.1,2.7,3.8,1.3,0.8,0.7,0.9,3.0,10.4
Chet Holmgren,21,$10386000,$10880640,$13731368,,,,$21266640,3,21,49,49,30.0,6.3,11.9,0.534,1.6,4.2,0.385,4.7,7.7,0.614,0.602,2.4,3.2,0.769,1.5,6.1,7.6,2.7,0.6,2.6,1.7,2.5,16.7
Vasilije Micić,30,$7723000,$7723000,$8109150,,,,$23555150,11,30,28,0,12.0,1.3,3.1,0.419,0.4,1.5,0.244,0.9,1.6,0.578,0.477,0.5,0.7,0.737,0.0,0.8,0.8,2.5,0.3,0.1,0.9,0.8,3.4
Josh Giddey,21,$6587040,$8352367,,,,,$14939407,5,21,48,48,24.7,4.7,10.4,0.449,0.9,2.8,0.326,3.8,7.6,0.493,0.492,1.2,1.5,0.817,1.4,4.9,6.3,4.6,0.7,0.5,2.1,1.2,11.4
Kenrich Williams,29,$6175000,$6669000,$7163000,$7163000,,,$20007000,8,29,38,1,15.0,1.9,3.9,0.473,0.8,2.1,0.397,1.1,1.9,0.556,0.577,0.1,0.3,0.3,0.8,2.2,2.9,1.2,0.6,0.2,0.4,1.4,4.6
Cason Wallace,20,$5291400,$5555880,$5820240,$7420806,,,$10847280,6,20,49,8,21.1,2.6,5.1,0.514,1.1,2.7,0.423,1.5,2.5,0.612,0.624,0.4,0.5,0.833,0.6,1.7,2.3,1.4,0.7,0.4,0.5,1.8,6.8
Aleksej Pokusevski,22,$5009633,,,,,,$5009633,17,22,9,0,6.1,0.4,1.7,0.267,0.2,1.1,0.2,0.2,0.6,0.4,0.333,0.2,0.4,0.5,0.2,0.9,1.1,0.6,0.1,0.1,0.3,0.6,1.3
Ousmane Dieng,20,$4798440,$5027040,$6670882,,,,$9825480,12,20,24,0,11.6,1.5,3.5,0.446,0.7,2.2,0.321,0.8,1.3,0.667,0.548,0.5,0.6,0.857,0.4,1.4,1.8,1.0,0.1,0.0,0.5,0.8,4.3
Jalen Williams,22,$4558680,$4775760,$6580997,,,,$9334440,2,22,44,44,31.9,7.3,13.5,0.539,1.4,3.2,0.45,5.9,10.4,0.566,0.591,2.6,3.3,0.806,0.5,3.5,4.0,4.5,1.1,0.5,1.7,2.7,18.7
Tre Mann,23,$3191400,$4908373,,,,,$8099773,13,22,13,0,9.2,1.5,3.1,0.5,0.6,1.5,0.421,0.9,1.6,0.571,0.6,0.1,0.1,1.0,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8
Jaylin Williams,21,$2000000,$2019699,$2187451,,,,$2000000,10,21,41,0,12.2,1.3,3.2,0.405,0.7,2.0,0.349,0.6,1.2,0.5,0.515,0.4,0.5,0.842,0.5,2.7,3.2,1.3,0.4,0.4,0.4,1.5,3.7
Isaiah Joe,24,$1997238,$2164993,,,,,,7,24,47,0,18.8,3.0,6.4,0.462,2.0,4.8,0.424,0.9,1.6,0.571,0.62,0.7,0.8,0.842,0.4,2.0,2.4,1.1,0.6,0.3,0.6,1.2,8.6
Aaron Wiggins,25,$1836096,$1988598,,,,,,9,25,46,0,13.6,2.3,3.8,0.599,0.7,1.3,0.542,1.6,2.6,0.627,0.689,0.5,0.7,0.75,0.6,1.7,2.3,0.9,0.5,0.1,0.5,1.2,5.8
Keyontae Johnson,23,,,,,,,,14,23,7,0,8.1,0.6,1.7,0.333,0.1,0.3,0.5,0.4,1.4,0.3,0.375,0.0,0.0,,0.4,0.4,0.9,0.6,0.0,0.0,0.6,0.6,1.3
Olivier Sarr,24,,,,,,,,16,24,11,0,7.4,0.6,1.3,0.5,0.2,0.5,0.333,0.5,0.7,0.625,0.571,0.6,0.9,0.7,0.7,2.1,2.8,0.2,0.0,0.5,0.3,1.5,2.1
Lindy Waters III,26,,,,,,,,15,26,19,0,7.8,1.0,2.4,0.422,0.9,2.2,0.405,0.1,0.2,0.667,0.611,0.0,0.0,,0.1,1.0,1.1,0.6,0.0,0.2,0.2,0.7,2.9
