Rk,Player,Age,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry,35,43,43,33.7,9.1,19.8,.459,4.9,11.8,.411,4.2,7.9,.531,.582,5.1,5.5,.932,0.5,3.9,4.4,5.0,0.8,0.4,3.0,1.8,28.1
2,Klay Thompson,33,44,44,30.9,6.1,14.6,.415,3.3,8.9,.374,2.7,5.7,.478,.529,1.8,2.0,.910,0.5,2.9,3.4,2.3,0.6,0.5,1.6,1.9,17.3
3,Chris Paul,38,32,11,27.6,3.3,7.7,.424,1.3,3.7,.361,1.9,3.9,.484,.512,1.1,1.3,.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
4,Andrew Wiggins,28,42,31,27.1,4.6,10.6,.437,1.0,3.1,.311,3.7,7.5,.490,.483,1.9,2.7,.717,1.6,2.6,4.2,1.5,0.4,0.5,1.3,2.3,12.2
5,Draymond Green,33,22,19,26.9,3.3,6.8,.480,1.1,2.7,.417,2.1,4.1,.522,.563,1.5,1.9,.805,1.2,5.0,6.2,6.2,0.7,0.9,2.5,3.1,9.2
6,Brandin Podziemski,20,40,11,25.5,3.8,8.1,.467,1.2,3.3,.369,2.6,4.8,.534,.542,0.7,1.1,.622,1.5,4.1,5.6,3.6,0.9,0.2,1.2,1.9,9.5
7,Jonathan Kuminga,21,45,19,24.8,5.7,10.6,.538,0.8,2.6,.330,4.9,8.1,.603,.577,2.8,4.0,.719,1.2,3.3,4.6,1.7,0.7,0.4,1.6,2.3,15.1
8,Dario Šarić,29,44,9,20.5,3.5,7.4,.481,1.5,3.8,.412,2.0,3.6,.553,.586,1.6,1.9,.854,1.4,4.0,5.5,2.6,0.6,0.2,1.3,2.2,10.2
9,Kevon Looney,27,46,36,19.2,2.2,3.5,.620,0.0,0.0,.000,2.2,3.5,.623,.620,0.8,1.2,.684,2.4,4.3,6.7,2.2,0.5,0.3,0.8,2.3,5.2
10,Moses Moody,21,34,4,18.0,3.1,6.5,.482,1.1,3.1,.358,2.0,3.4,.595,.568,1.3,1.7,.789,1.1,2.0,3.1,0.8,0.7,0.3,0.7,1.4,8.7
11,Gary Payton II,31,16,0,16.3,2.3,4.9,.456,0.6,2.0,.281,1.7,2.9,.574,.513,0.4,0.6,.667,1.0,2.0,3.0,0.8,1.1,0.3,0.6,1.8,5.4
12,Trayce Jackson-Davis,23,35,3,13.8,2.8,4.1,.688,0.0,0.0,,2.8,4.1,.688,.688,1.0,1.8,.571,1.6,2.6,4.2,0.9,0.3,0.8,0.7,1.6,6.7
13,Cory Joseph,32,25,0,11.6,0.8,2.4,.333,0.4,1.6,.282,0.4,0.8,.429,.425,0.2,0.3,.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1.0,2.2
14,Lester Quinones,23,12,0,9.2,1.6,3.5,.452,1.0,2.3,.444,0.6,1.3,.467,.595,0.3,0.5,.667,0.8,1.2,1.9,0.5,0.1,0.1,0.7,1.1,4.5
15,Gui Santos,21,8,0,7.6,0.8,1.9,.400,0.1,1.0,.125,0.6,0.9,.714,.433,1.0,1.0,1.000,0.9,1.1,2.0,0.6,0.0,0.0,0.4,1.1,2.6
16,Jerome Robinson,26,8,0,3.5,0.0,1.1,.000,0.0,0.6,.000,0.0,0.5,.000,.000,0.5,0.8,.667,0.1,0.3,0.4,0.3,0.0,0.1,0.0,0.1,0.5
17,Usman Garuba,21,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0
